Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450077704;FONTAINE_BOIS;;;;AVENUE DES JARDINS;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.318831905244666, 48.89860803722127], ""type"": ""Point""}";48.89860803722127, 2.318831905244666
450077723;FONTAINE_BOIS;;;;AVENUE DE L EST;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3283720996550086, 48.83818997437977], ""type"": ""Point""}";48.83818997437977, 2.3283720996550086
450077147;FONTAINE_BOIS;Particulier;;;PARC ANDRE CITROEN;PARIS 15EME ARRONDISSEMENT;NON;2022-12-15T02:00:00+01:00;;FERME DEMANDE TIERS;"{""coordinates"": [2.2730713567911476, 48.841430675968454], ""type"": ""Point""}";48.841430675968454, 2.2730713567911476
450077492;FONTAINE_BOIS;Bayard BF3;;;BOULEVARD PEREIRE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2893699182883203, 48.880809939337276], ""type"": ""Point""}";48.880809939337276, 2.2893699182883203
450077505;FONTAINE_BOIS;Particulier;;;RUE CURIAL;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.376244552020334, 48.895552890297964], ""type"": ""Point""}";48.895552890297964, 2.376244552020334
450077510;FONTAINE_BOIS;GHM Bois;;;ALLEE DE FONTAINEBLEAU;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.39244282982111, 48.88588107377795], ""type"": ""Point""}";48.88588107377795, 2.39244282982111
450077515;FONTAINE_BOIS;GHM Bois;;;AVENUE DU GENERAL SAN MARTIN;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.380765476771277, 48.87787338297298], ""type"": ""Point""}";48.87787338297298, 2.380765476771277
450080236;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.412708729475274, 48.90239987185354], ""type"": ""Point""}";48.90239987185354, 2.412708729475274
450080250;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.416950355424819, 48.9041758765275], ""type"": ""Point""}";48.9041758765275, 2.416950355424819
450080777;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE DU PRE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3638875962927064, 48.89674269634302], ""type"": ""Point""}";48.89674269634302, 2.3638875962927064
